concept_id,n_positions,evr_pc1,evr_pc2,evr_pc3,evr_pc4,evr_pc5,evr_pc6,cum_pc1_1,cum_pc1_2,cum_pc1_3,cum_pc1_4,cum_pc1_5,cum_pc1_6
215,15,0.298139,0.131025,0.099097,0.079217,0.071400,0.060544,0.298139,0.429164,0.528262,0.607479,0.678878,0.739423
216,20,0.175148,0.146975,0.083996,0.072439,0.061981,0.057564,0.175148,0.322123,0.406119,0.478559,0.540540,0.598104
217,26,0.148723,0.131740,0.101587,0.086466,0.056098,0.054152,0.148723,0.280463,0.382050,0.468516,0.524614,0.578766
218,21,0.208995,0.176775,0.080238,0.068862,0.058679,0.049467,0.208995,0.385769,0.466008,0.534869,0.593548,0.643015
219,17,0.232889,0.120359,0.091747,0.079252,0.070253,0.062122,0.232889,0.353249,0.444995,0.524247,0.594500,0.656622
220,19,0.222552,0.125176,0.111590,0.083896,0.071497,0.055852,0.222552,0.347727,0.459317,0.543214,0.614711,0.670563
221,16,0.272599,0.176128,0.090616,0.079268,0.065127,0.054166,0.272599,0.448728,0.539344,0.618612,0.683738,0.737904
222,14,0.275550,0.212356,0.092542,0.075163,0.064901,0.054701,0.275550,0.487906,0.580447,0.655611,0.720512,0.775212
223,19,0.279641,0.180859,0.086737,0.065883,0.060289,0.046062,0.279641,0.460500,0.547236,0.613119,0.673407,0.719469
224,21,0.263654,0.141001,0.096293,0.067657,0.052495,0.044168,0.263654,0.404655,0.500948,0.568605,0.621100,0.665268
225,16,0.347737,0.139418,0.119320,0.068491,0.053656,0.039990,0.347737,0.487155,0.606475,0.674966,0.728622,0.768613
226,15,0.328501,0.174732,0.128912,0.077498,0.060585,0.048640,0.328501,0.503234,0.632146,0.709644,0.770229,0.818868
227,19,0.195374,0.107970,0.093258,0.083818,0.079832,0.055796,0.195374,0.303344,0.396602,0.480421,0.560252,0.616049
228,26,0.229604,0.123066,0.103099,0.075308,0.054803,0.049464,0.229604,0.352670,0.455769,0.531077,0.585880,0.635344
229,21,0.206649,0.176121,0.080552,0.068606,0.062554,0.048773,0.206649,0.382770,0.463322,0.531929,0.594483,0.643255
230,23,0.160816,0.116474,0.093912,0.079656,0.066430,0.058495,0.160816,0.277290,0.371203,0.450859,0.517289,0.575784
231,22,0.188019,0.162003,0.105978,0.082932,0.061682,0.044732,0.188019,0.350023,0.456000,0.538932,0.600615,0.645346
232,21,0.235069,0.143094,0.089619,0.063793,0.060451,0.049069,0.235069,0.378163,0.467782,0.531575,0.592026,0.641095
233,17,0.276377,0.103699,0.081554,0.079819,0.070482,0.064872,0.276377,0.380077,0.461630,0.541449,0.611931,0.676803
234,21,0.182128,0.130692,0.102286,0.075349,0.062856,0.056670,0.182128,0.312820,0.415106,0.490455,0.553311,0.609982
235,22,0.228601,0.158510,0.102900,0.072894,0.065147,0.051295,0.228601,0.387112,0.490012,0.562906,0.628053,0.679348
236,15,0.241506,0.211183,0.090521,0.075308,0.058552,0.054963,0.241506,0.452688,0.543210,0.618518,0.677069,0.732033
237,22,0.216556,0.173772,0.128479,0.079575,0.059494,0.050419,0.216556,0.390328,0.518807,0.598382,0.657876,0.708295
238,18,0.227020,0.129764,0.105460,0.080658,0.071631,0.062121,0.227020,0.356784,0.462244,0.542902,0.614533,0.676654
239,17,0.257162,0.191267,0.091152,0.083317,0.070216,0.057040,0.257162,0.448429,0.539580,0.622897,0.693113,0.750153
240,31,0.215247,0.128339,0.088150,0.063933,0.051399,0.038947,0.215247,0.343586,0.431736,0.495670,0.547069,0.586016
241,23,0.185999,0.118649,0.104679,0.073942,0.061236,0.050542,0.185999,0.304648,0.409327,0.483269,0.544505,0.595047
242,17,0.194525,0.152462,0.106593,0.086655,0.068033,0.057551,0.194525,0.346988,0.453581,0.540236,0.608268,0.665820
243,21,0.183409,0.157209,0.109430,0.072122,0.062821,0.051546,0.183409,0.340619,0.450049,0.522171,0.584992,0.636538
244,14,0.274708,0.191171,0.115024,0.089669,0.063097,0.055378,0.274708,0.465879,0.580903,0.670572,0.733669,0.789047
245,18,0.276456,0.187561,0.101016,0.076002,0.056959,0.051890,0.276456,0.464017,0.565034,0.641036,0.697995,0.749886
246,20,0.208406,0.139974,0.099436,0.090990,0.064334,0.057490,0.208406,0.348380,0.447816,0.538806,0.603141,0.660631
247,14,0.226879,0.156598,0.123541,0.100761,0.076367,0.058628,0.226879,0.383477,0.507018,0.607779,0.684146,0.742774
248,17,0.208193,0.187200,0.132210,0.097864,0.069757,0.061019,0.208193,0.395392,0.527602,0.625466,0.695223,0.756242
249,18,0.257488,0.197697,0.123324,0.066067,0.054090,0.040786,0.257488,0.455184,0.578508,0.644575,0.698665,0.739451
250,20,0.178647,0.147738,0.096377,0.068579,0.061827,0.059370,0.178647,0.326385,0.422762,0.491341,0.553169,0.612539
251,21,0.241560,0.162715,0.117416,0.072053,0.059074,0.045391,0.241560,0.404276,0.521692,0.593745,0.652819,0.698210
252,23,0.245531,0.111323,0.095450,0.070961,0.065473,0.061907,0.245531,0.356854,0.452304,0.523265,0.588738,0.650645
253,15,0.260143,0.209604,0.103379,0.083940,0.058435,0.049693,0.260143,0.469747,0.573126,0.657066,0.715501,0.765194
254,25,0.193856,0.124651,0.099952,0.057797,0.054134,0.047874,0.193856,0.318507,0.418459,0.476257,0.530391,0.578265
255,11,0.459895,0.133329,0.095197,0.074552,0.051168,0.049023,0.459895,0.593224,0.688421,0.762973,0.814141,0.863164
256,15,0.254845,0.193664,0.093677,0.087722,0.074143,0.056502,0.254845,0.448510,0.542186,0.629909,0.704052,0.760553
257,17,0.231336,0.139408,0.093516,0.080020,0.066800,0.064015,0.231336,0.370744,0.464260,0.544280,0.611079,0.675095
258,18,0.229808,0.187131,0.086663,0.069643,0.064911,0.060340,0.229808,0.416939,0.503602,0.573245,0.638157,0.698497
259,17,0.265414,0.109517,0.091075,0.076594,0.075125,0.056262,0.265414,0.374931,0.466005,0.542599,0.617724,0.673986
260,16,0.296551,0.204156,0.092486,0.089812,0.061120,0.051004,0.296551,0.500707,0.593193,0.683005,0.744125,0.795129
261,24,0.173475,0.140897,0.115407,0.083044,0.068445,0.047520,0.173475,0.314372,0.429779,0.512823,0.581268,0.628788
262,20,0.186485,0.149756,0.097235,0.072949,0.067282,0.057204,0.186485,0.336241,0.433476,0.506425,0.573706,0.630910
263,20,0.186478,0.128555,0.100768,0.077939,0.073621,0.059914,0.186478,0.315033,0.415801,0.493740,0.567361,0.627275
264,20,0.196534,0.115800,0.095675,0.069818,0.065493,0.052047,0.196534,0.312333,0.408009,0.477827,0.543320,0.595368
265,20,0.166696,0.129828,0.096773,0.077931,0.063221,0.060855,0.166696,0.296524,0.393296,0.471228,0.534449,0.595305
266,20,0.253465,0.104537,0.089039,0.077154,0.062463,0.056690,0.253465,0.358003,0.447041,0.524196,0.586659,0.643349
267,17,0.300027,0.179708,0.082097,0.071143,0.064932,0.045368,0.300027,0.479735,0.561832,0.632975,0.697906,0.743275
268,21,0.156045,0.128854,0.099591,0.077530,0.070258,0.058541,0.156045,0.284899,0.384490,0.462020,0.532278,0.590819
269,20,0.199079,0.157546,0.089280,0.067289,0.056223,0.051968,0.199079,0.356626,0.445905,0.513195,0.569417,0.621385
270,18,0.177725,0.148328,0.080258,0.075025,0.066768,0.061474,0.177725,0.326052,0.406310,0.481335,0.548103,0.609577
271,21,0.254017,0.154204,0.078992,0.073230,0.055386,0.050200,0.254017,0.408221,0.487213,0.560443,0.615830,0.666030
272,19,0.231063,0.209357,0.105937,0.063337,0.057548,0.050398,0.231063,0.440420,0.546357,0.609694,0.667242,0.717639
273,16,0.217499,0.189121,0.102885,0.079070,0.062687,0.058961,0.217499,0.406620,0.509505,0.588576,0.651263,0.710224
274,16,0.281894,0.175440,0.096171,0.079820,0.063810,0.057818,0.281894,0.457334,0.553505,0.633326,0.697135,0.754954
275,23,0.176633,0.103329,0.081013,0.070612,0.062827,0.055231,0.176633,0.279962,0.360975,0.431587,0.494414,0.549645
276,23,0.204734,0.156802,0.090717,0.081196,0.060608,0.050565,0.204734,0.361536,0.452253,0.533449,0.594057,0.644622
277,15,0.309495,0.177086,0.096450,0.082577,0.060545,0.047812,0.309495,0.486581,0.583032,0.665608,0.726153,0.773966
278,16,0.263829,0.202354,0.111082,0.077096,0.052282,0.049198,0.263829,0.466183,0.577265,0.654361,0.706643,0.755841
279,22,0.221074,0.152356,0.078919,0.067054,0.062044,0.056808,0.221074,0.373430,0.452349,0.519402,0.581447,0.638255
280,24,0.170688,0.155621,0.120497,0.086864,0.054676,0.039643,0.170688,0.326309,0.446806,0.533670,0.588346,0.627989
281,18,0.279155,0.126773,0.092141,0.074489,0.063445,0.052364,0.279155,0.405928,0.498069,0.572558,0.636003,0.688367
282,16,0.342879,0.203452,0.098500,0.092125,0.052686,0.036169,0.342879,0.546331,0.644831,0.736956,0.789642,0.825810
283,16,0.247161,0.171356,0.083313,0.076636,0.067470,0.056395,0.247161,0.418517,0.501830,0.578466,0.645936,0.702330
284,17,0.268147,0.139836,0.087092,0.077632,0.067020,0.055915,0.268147,0.407983,0.495075,0.572707,0.639727,0.695642
285,19,0.175825,0.146296,0.119755,0.072977,0.067581,0.055211,0.175825,0.322121,0.441877,0.514853,0.582434,0.637645
286,24,0.313116,0.094601,0.073613,0.060974,0.056924,0.046914,0.313116,0.407718,0.481330,0.542305,0.599229,0.646143
287,20,0.174479,0.116897,0.108120,0.080682,0.067993,0.057636,0.174479,0.291377,0.399496,0.480178,0.548171,0.605807
288,19,0.203974,0.107011,0.090465,0.085837,0.080109,0.057249,0.203974,0.310985,0.401450,0.487287,0.567397,0.624646
289,17,0.232821,0.129320,0.089531,0.079570,0.067461,0.056662,0.232821,0.362141,0.451672,0.531242,0.598703,0.655365
290,20,0.187027,0.112886,0.089578,0.073727,0.062787,0.060896,0.187027,0.299913,0.389491,0.463219,0.526005,0.586901
291,18,0.278364,0.184961,0.087048,0.070311,0.056021,0.053593,0.278364,0.463325,0.550374,0.620684,0.676705,0.730298
292,14,0.252275,0.128721,0.108295,0.080846,0.074727,0.071168,0.252275,0.380996,0.489291,0.570137,0.644864,0.716032
293,20,0.178751,0.138530,0.092268,0.080064,0.069172,0.062150,0.178751,0.317280,0.409548,0.489612,0.558785,0.620934
294,12,0.348458,0.136856,0.115042,0.097330,0.061903,0.054585,0.348458,0.485314,0.600355,0.697686,0.759589,0.814174
295,19,0.197513,0.131724,0.100048,0.077633,0.069776,0.061014,0.197513,0.329237,0.429284,0.506917,0.576693,0.637707
296,18,0.288258,0.110706,0.090216,0.083700,0.054627,0.049939,0.288258,0.398964,0.489180,0.572881,0.627508,0.677446
297,18,0.287457,0.157941,0.087287,0.077689,0.069290,0.056405,0.287457,0.445398,0.532684,0.610373,0.679663,0.736068
298,18,0.222066,0.122843,0.097316,0.075393,0.066691,0.065183,0.222066,0.344908,0.442225,0.517618,0.584309,0.649492
299,18,0.227381,0.155279,0.102369,0.067261,0.056296,0.052953,0.227381,0.382660,0.485029,0.552291,0.608587,0.661540
300,20,0.191796,0.149273,0.086890,0.077444,0.073040,0.051732,0.191796,0.341069,0.427959,0.505403,0.578443,0.630175
301,19,0.208755,0.166992,0.084630,0.075787,0.058824,0.050288,0.208755,0.375747,0.460377,0.536164,0.594987,0.645276
302,19,0.173499,0.153617,0.125280,0.079394,0.069189,0.056335,0.173499,0.327116,0.452396,0.531790,0.600979,0.657314
303,21,0.206930,0.137370,0.092180,0.082056,0.069173,0.050561,0.206930,0.344300,0.436481,0.518537,0.587710,0.638271
304,15,0.272349,0.172885,0.114531,0.085000,0.074770,0.053537,0.272349,0.445234,0.559765,0.644765,0.719535,0.773071
305,18,0.186059,0.150989,0.094137,0.073835,0.068607,0.063134,0.186059,0.337047,0.431184,0.505019,0.573626,0.636760
306,23,0.268351,0.137070,0.117056,0.079501,0.044039,0.042759,0.268351,0.405421,0.522477,0.601979,0.646017,0.688776
307,15,0.294829,0.162271,0.111047,0.083105,0.077903,0.048099,0.294829,0.457100,0.568147,0.651252,0.729155,0.777254
308,18,0.340982,0.167759,0.090376,0.075311,0.055435,0.033082,0.340982,0.508741,0.599117,0.674427,0.729863,0.762945
309,14,0.347325,0.225412,0.105650,0.066496,0.058982,0.039646,0.347325,0.572738,0.678388,0.744884,0.803865,0.843511
310,20,0.225358,0.152675,0.104183,0.069271,0.056362,0.050748,0.225358,0.378033,0.482216,0.551488,0.607849,0.658597
311,23,0.181591,0.132538,0.096103,0.068117,0.061556,0.049984,0.181591,0.314128,0.410231,0.478347,0.539903,0.589887
312,23,0.168004,0.149389,0.085096,0.063892,0.062584,0.050315,0.168004,0.317393,0.402489,0.466381,0.528966,0.579280
313,21,0.208717,0.170280,0.088268,0.066200,0.061472,0.056454,0.208717,0.378997,0.467265,0.533466,0.594938,0.651391
314,17,0.217328,0.134860,0.120937,0.079114,0.075189,0.054026,0.217328,0.352188,0.473125,0.552239,0.627428,0.681454
315,20,0.269295,0.161822,0.097560,0.068321,0.056513,0.049286,0.269295,0.431117,0.528677,0.596998,0.653511,0.702797
316,25,0.171175,0.123296,0.113357,0.067405,0.061726,0.049584,0.171175,0.294470,0.407828,0.475233,0.536958,0.586542
317,18,0.213280,0.112633,0.090478,0.085739,0.069233,0.066401,0.213280,0.325913,0.416392,0.502131,0.571363,0.637764
318,17,0.259630,0.131061,0.096259,0.090228,0.074276,0.062139,0.259630,0.390691,0.486950,0.577178,0.651454,0.713593
319,17,0.334057,0.183878,0.094511,0.066792,0.051286,0.041397,0.334057,0.517935,0.612446,0.679238,0.730524,0.771921
320,23,0.207278,0.139103,0.090055,0.080578,0.053318,0.050542,0.207278,0.346382,0.436437,0.517014,0.570332,0.620875
321,13,0.252991,0.181880,0.096670,0.094686,0.081328,0.072783,0.252991,0.434871,0.531541,0.626227,0.707555,0.780338
322,18,0.339707,0.176533,0.087883,0.057430,0.055058,0.043671,0.339707,0.516241,0.604124,0.661554,0.716611,0.760282
323,21,0.195906,0.103810,0.090391,0.065501,0.057504,0.056787,0.195906,0.299716,0.390107,0.455608,0.513112,0.569899
324,23,0.190644,0.144117,0.101536,0.082713,0.056843,0.050962,0.190644,0.334761,0.436297,0.519010,0.575852,0.626814
325,17,0.251240,0.207725,0.091949,0.067441,0.061395,0.045532,0.251240,0.458965,0.550914,0.618355,0.679750,0.725283
326,21,0.257329,0.139038,0.087617,0.069633,0.060643,0.057353,0.257329,0.396367,0.483985,0.553618,0.614261,0.671614
327,16,0.314906,0.144557,0.097368,0.092663,0.056556,0.046314,0.314906,0.459463,0.556831,0.649494,0.706050,0.752364
328,17,0.209202,0.146270,0.109325,0.087255,0.070677,0.058746,0.209202,0.355472,0.464796,0.552051,0.622728,0.681475
329,17,0.300870,0.173765,0.086261,0.074256,0.070100,0.046484,0.300870,0.474636,0.560897,0.635153,0.705253,0.751738
330,17,0.245446,0.163269,0.099115,0.081891,0.067924,0.049534,0.245446,0.408715,0.507830,0.589721,0.657645,0.707179
331,18,0.248368,0.198990,0.094240,0.075667,0.052626,0.049377,0.248368,0.447358,0.541598,0.617265,0.669891,0.719268
